order_id,item_id,order_type,site
1,210,real,F20
1,710,real,F20
1,110,real,F20
2,600,real,F19
2,350,real,F19
2,940,real,F19
3,370,real,F20
3,130,real,F20
3,530,real,F20
4,390,real,F20
4,1080,real,F20
4,1000,real,F20
5,470,real,F14
5,550,real,F14
5,280,real,F14
5,170,real,F14
5,750,real,F14
6,370,real,F16
6,860,real,F16
6,400,real,F16
6,900,real,F16
6,850,real,F16
7,590,real,F10
7,180,real,F10
8,940,real,F20
8,800,real,F20
9,470,real,F20
9,830,real,F20
9,410,real,F20
9,310,real,F20
10,540,real,F20
10,1020,real,F20
10,140,real,F20
10,570,real,F20
11,870,real,F20
11,180,real,F20
11,790,real,F20
12,360,real,F20
12,190,real,F20
12,380,real,F20
12,840,real,F20
13,410,real,F12
13,670,real,F12
14,200,real,F20
14,540,real,F20
15,220,real,F20
15,380,real,F20
15,700,real,F20
15,780,real,F20
16,340,real,F20
16,850,real,F20
17,1050,real,F20
17,640,real,F20
18,260,real,F4
19,100,real,F16
19,860,real,F16
19,590,real,F16
19,760,real,F16
20,710,real,F20
20,720,real,F20
20,660,real,F20
20,870,real,F20
21,620,real,F13
21,690,real,F13
21,200,real,F13
21,500,real,F13
22,480,real,F20
22,880,real,F20
23,310,real,F5
24,270,real,F4
25,900,real,F20
25,520,real,F20
25,1030,real,F20
25,440,real,F20
25,610,real,F20
26,560,real,F20
26,410,real,F20
26,950,real,F20
27,430,real,F20
27,970,real,F20
27,1050,real,F20
28,740,real,F20
28,1050,real,F20
29,780,real,F20
30,980,real,F20
30,760,real,F20
30,110,real,F20
30,280,real,F20
30,720,real,F20
31,780,real,F14
32,450,real,F10
32,190,real,F10
32,520,real,F10
33,320,real,F9
33,150,real,F9
33,300,real,F9
33,480,real,F9
34,1000,real,F19
34,1010,real,F19
34,400,real,F19
34,450,real,F19
34,240,real,F19
35,710,real,F20
35,960,real,F20
36,700,real,F15
36,820,real,F15
36,510,real,F15
36,730,real,F15
36,670,real,F15
37,260,real,F11
37,180,real,F11
37,200,real,F11
37,320,real,F11
38,260,real,F20
38,980,real,F20
38,250,real,F20
39,640,real,F20
39,730,real,F20
39,470,real,F20
40,960,real,F20
40,830,real,F20
41,1010,real,F20
41,710,real,F20
41,780,real,F20
42,1030,real,F20
42,350,real,F20
42,870,real,F20
42,550,real,F20
43,580,real,F20
43,530,real,F20
43,1090,real,F20
44,770,real,F20
44,730,real,F20
44,1080,real,F20
44,710,real,F20
44,370,real,F20
45,1010,real,F20
45,280,real,F20
45,290,real,F20
45,120,real,F20
46,620,real,F20
46,580,real,F20
46,890,real,F20
46,730,real,F20
47,910,real,F20
48,340,real,F2
48,550,real,F2
48,280,real,F2
48,430,real,F2
48,480,real,F2
49,200,real,F20
49,940,real,F20
50,1030,real,F20
51,740,real,F20
51,830,real,F20
51,270,real,F20
51,490,real,F20
52,900,real,F20
53,250,real,F15
53,700,real,F15
53,130,real,F15
54,490,real,F20
54,400,real,F20
54,700,real,F20
54,140,real,F20
54,570,real,F20
55,880,real,F20
56,840,real,F20
56,170,real,F20
57,570,real,F20
57,990,real,F20
58,1040,real,F20
58,280,real,F20
58,470,real,F20
58,920,real,F20
58,350,real,F20
59,260,real,F20
59,410,real,F20
59,850,real,F20
59,830,real,F20
60,850,real,F20
60,960,real,F20
60,460,real,F20
61,430,real,F20
61,960,real,F20
61,1080,real,F20
61,380,real,F20
62,1060,real,F20
62,600,real,F20
62,830,real,F20
63,730,real,F20
63,720,real,F20
63,950,real,F20
63,930,real,F20
64,910,real,F20
64,570,real,F20
64,150,real,F20
64,480,real,F20
64,130,real,F20
65,360,real,F20
65,700,real,F20
65,660,real,F20
65,570,real,F20
66,610,real,F11
66,340,real,F11
67,930,real,F20
68,300,real,F20
68,890,real,F20
68,500,real,F20
68,660,real,F20
69,610,real,F20
69,1030,real,F20
69,340,real,F20
69,1080,real,F20
69,920,real,F20
70,300,real,F12
70,500,real,F12
70,630,real,F12
70,170,real,F12
71,510,real,F20
71,890,real,F20
71,540,real,F20
72,190,real,F20
72,730,real,F20
73,450,real,F18
73,510,real,F18
73,1070,real,F18
73,190,real,F18
74,150,real,F7
75,950,real,F20
75,1000,real,F20
75,980,real,F20
76,300,real,F20
76,880,real,F20
76,290,real,F20
76,1070,real,F20
76,520,real,F20
77,860,real,F16
78,380,real,F9
79,330,real,F13
79,590,real,F13
80,300,real,F5
81,930,real,F20
82,120,real,F17
82,520,real,F17
82,110,real,F17
82,470,real,F17
82,650,real,F17
83,740,real,F20
83,750,real,F20
83,130,real,F20
84,1090,real,F20
84,500,real,F20
84,800,real,F20
84,300,real,F20
84,1000,real,F20
85,130,real,F17
85,610,real,F17
85,820,real,F17
85,950,real,F17
86,1040,real,F20
87,770,real,F20
87,650,real,F20
88,620,real,F12
88,200,real,F12
88,450,real,F12
89,440,real,F8
89,250,real,F8
89,340,real,F8
90,950,real,F20
91,600,real,F20
91,670,real,F20
91,780,real,F20
92,420,real,F9
92,100,real,F9
93,190,real,F17
93,710,real,F17
93,130,real,F17
93,800,real,F17
93,1000,real,F17
94,790,real,F20
94,870,real,F20
94,770,real,F20
94,660,real,F20
95,270,real,F5
96,810,real,F20
97,810,real,F20
97,630,real,F20
97,480,real,F20
97,1060,real,F20
97,410,real,F20
98,730,real,F20
98,1090,real,F20
98,300,real,F20
99,160,real,F20
99,730,real,F20
100,650,real,F20
100,860,real,F20
100,240,real,F20
100,450,real,F20
100,1050,real,F20
101,1070,real,F20
101,990,real,F20
101,190,real,F20
101,1060,real,F20
102,940,real,F20
102,270,real,F20
102,1010,real,F20
103,390,real,F11
103,550,real,F11
104,870,real,F20
104,790,real,F20
104,680,real,F20
104,810,real,F20
104,230,real,F20
105,410,real,F20
105,1090,real,F20
105,660,real,F20
105,290,real,F20
106,160,real,F8
106,410,real,F8
106,150,real,F8
106,130,real,F8
106,220,real,F8
107,640,real,F15
107,270,real,F15
108,670,real,F12
108,120,real,F12
109,540,real,F10
110,140,real,F5
110,130,real,F5
111,560,real,F20
111,970,real,F20
111,1010,real,F20
112,1040,real,F20
113,950,real,F20
113,500,real,F20
114,580,real,F10
115,830,real,F15
116,1070,real,F20
116,350,real,F20
116,500,real,F20
116,460,real,F20
117,170,real,F11
117,620,real,F11
117,380,real,F11
117,330,real,F11
118,510,real,F20
119,290,real,F20
119,400,real,F20
119,850,real,F20
119,380,real,F20
119,840,real,F20
120,330,real,F20
120,1030,real,F20
121,1070,real,F20
122,480,real,F20
122,830,real,F20
123,700,real,F20
