order_id,item_id,order_type,site
1,940,real,F20
2,1020,real,F20
2,500,real,F20
2,260,real,F20
3,890,real,F18
3,610,real,F18
3,1010,real,F18
3,920,real,F18
4,770,real,F20
4,1060,real,F20
4,580,real,F20
4,470,real,F20
5,320,real,F20
5,920,real,F20
5,390,real,F20
5,350,real,F20
5,980,real,F20
6,620,real,F20
6,680,real,F20
6,190,real,F20
6,290,real,F20
6,980,real,F20
7,990,real,F18
7,610,real,F18
8,110,real,F20
8,950,real,F20
8,860,real,F20
9,580,real,F20
9,140,real,F20
10,380,real,F20
10,960,real,F20
10,420,real,F20
10,860,real,F20
11,240,real,F4
11,120,real,F4
12,450,real,F2
12,370,real,F2
13,950,real,F20
13,330,real,F20
13,220,real,F20
14,310,real,F10
15,360,real,F20
15,1000,real,F20
15,1030,real,F20
15,690,real,F20
15,620,real,F20
16,800,real,F20
16,300,real,F20
16,510,real,F20
17,500,real,F20
17,890,real,F20
17,1090,real,F20
17,910,real,F20
17,880,real,F20
18,820,real,F20
18,250,real,F20
18,640,real,F20
19,820,real,F19
19,150,real,F19
19,840,real,F19
20,650,real,F20
20,230,real,F20
20,840,real,F20
21,800,real,F14
22,540,real,F20
22,770,real,F20
23,170,real,F10
23,370,real,F10
23,180,real,F10
24,670,real,F13
24,680,real,F13
24,130,real,F13
24,340,real,F13
24,370,real,F13
25,790,real,F16
25,120,real,F16
26,410,real,F20
26,120,real,F20
26,1060,real,F20
26,420,real,F20
27,160,real,F17
27,960,real,F17
28,790,real,F20
28,180,real,F20
28,770,real,F20
29,740,real,F20
29,1050,real,F20
29,190,real,F20
29,490,real,F20
29,110,real,F20
30,580,real,F20
30,1090,real,F20
31,240,real,F8
32,190,real,F20
32,840,real,F20
32,230,real,F20
32,490,real,F20
33,850,real,F20
33,1090,real,F20
34,700,real,F20
34,170,real,F20
34,1050,real,F20
34,730,real,F20
34,880,real,F20
35,880,real,F19
35,220,real,F19
35,1040,real,F19
35,340,real,F19
36,950,real,F20
36,280,real,F20
37,410,real,F7
37,240,real,F7
37,330,real,F7
38,640,real,F20
38,1030,real,F20
38,500,real,F20
38,1050,real,F20
38,600,real,F20
39,380,real,F16
39,770,real,F16
39,620,real,F16
39,750,real,F16
39,740,real,F16
40,1020,real,F20
40,840,real,F20
40,890,real,F20
40,540,real,F20
40,700,real,F20
41,310,real,F20
41,900,real,F20
41,690,real,F20
42,1020,real,F20
42,1030,real,F20
42,580,real,F20
42,1090,real,F20
43,610,real,F20
